Date,NIFTY_TOTAL_MARKET
2021-10-29,10560.78
2021-10-28,10633.07
2021-10-27,10838.83
2021-10-26,10848.88
2021-10-25,10723.51
2021-10-22,10772.98
2021-10-21,10836.28
2021-10-20,10889.65
2021-10-19,11024.02
2021-10-18,11117.28
2021-10-14,11035.63
2021-10-13,10940.24
2021-10-12,10835.57
2021-10-11,10797.93
2021-10-08,10753.5
2021-10-07,10700.39
2021-10-06,10591.39
2021-10-05,10693.36
2021-10-04,10623.71
2021-10-01,10504.51
2021-09-30,10529.98
2021-09-29,10552.35
2021-09-28,10555.9
2021-09-27,10619.57
2021-09-24,10621.45
2021-09-23,10630.9
2021-09-22,10482.02
2021-09-21,10448.38
2021-09-20,10365.9
2021-09-17,10507.97
2021-09-16,10561.14
2021-09-15,10502.62
2021-09-14,10420.13
2021-09-13,10382.81
2021-09-09,10369.52
2021-09-08,10345.03
2021-09-07,10325.82
2021-09-06,10341.39
2021-09-03,10309.11
2021-09-02,10257.18
2021-09-01,10162.92
2021-08-31,10166.25
2021-08-30,10058.5
2021-08-27,9915.16
2021-08-26,9854.85
2021-08-25,9845.16
2021-08-24,9822.74
2021-08-23,9726.32
2021-08-20,9741.64
2021-08-18,9851.5
2021-08-17,9865.17
2021-08-16,9837.54
2021-08-13,9836.27
2021-08-12,9773.83
2021-08-11,9701.23
2021-08-10,9712.64
2021-08-09,9749.67
2021-08-06,9765.53
2021-08-05,9783.18
2021-08-04,9776.43
2021-08-03,9759.37
2021-08-02,9652.23
2021-07-30,9567.18
2021-07-29,9552.64
2021-07-28,9504.76
2021-07-27,9524.7
2021-07-26,9566.83
2021-07-23,9572.67
2021-07-22,9560.02
2021-07-20,9437.1
2021-07-19,9526.32
2021-07-16,9608.27
2021-07-15,9592.52
2021-07-14,9550.22
2021-07-13,9527.02
2021-07-12,9472.23
2021-07-09,9454.67
2021-07-08,9456.17
2021-07-07,9521.29
2021-07-06,9482.53
2021-07-05,9491.37
2021-07-02,9424.93
2021-07-01,9393.54
2021-06-30,9405.22
2021-06-29,9409.78
2021-06-28,9440.62
2021-06-25,9443.44
2021-06-24,9393.83
2021-06-23,9363.3
2021-06-22,9410.67
2021-06-21,9384.81
2021-06-18,9334.37
2021-06-17,9362.47
2021-06-16,9419.16
2021-06-15,9485.6
2021-06-14,9447.09
2021-06-11,9450.48
2021-06-10,9414.53
2021-06-09,9322.46
2021-06-08,9392.16
2021-06-07,9379.24
2021-06-04,9317.86
2021-06-03,9306.09
2021-06-02,9229.02
2021-06-01,9181.71
2021-05-31,9194.08
2021-05-28,9110.71
2021-05-27,9076.81
2021-05-26,9046.62
2021-05-25,9004.29
2021-05-24,9000.92
2021-05-21,8968.87
2021-05-20,8844.3
2021-05-19,8893.15
2021-05-18,8912.21
2021-05-17,8796.72
2021-05-14,8657.49
2021-05-12,8703.63
2021-05-11,8775.53
2021-05-10,8792.44
2021-05-07,8716.45
2021-05-06,8672.69
2021-05-05,8610.75
2021-05-04,8532.09
2021-05-03,8597.55
2021-04-30,8572.64
2021-04-29,8686.89
2021-04-28,8674.35
2021-04-27,8566.37
2021-04-26,8464.75
2021-04-23,8387.38
2021-04-22,8405.1
2021-04-20,8350.8
2021-04-19,8363.6
2021-04-16,8517.73
2021-04-15,8474.84
2021-04-13,8440.92
2021-04-12,8327.88
2021-04-09,8680.14
2021-04-08,8689.02
2021-04-07,8644.97
2021-04-06,8558.48
2021-04-05,8516.67
2021-04-01,8640.82
2021-03-31,8523.74
2021-03-30,8573.64
2021-03-26,8409.39
2021-03-25,8301.94
2021-03-24,8443.81
2021-03-23,8595.55
2021-03-22,8540.11
2021-03-19,8521.58
2021-03-18,8425.15
2021-03-17,8527.14
2021-03-16,8662.29
2021-03-15,8659.67
2021-03-12,8716.33
2021-03-10,8783.08
2021-03-09,8731.22
2021-03-08,8692.39
2021-03-05,8676.02
2021-03-04,8779.87
2021-03-03,8830.18
2021-03-02,8661.29
2021-03-01,8556.69
2021-02-26,8427.13
2021-02-25,8690.91
2021-02-24,8612.79
2021-02-23,8481.0
2021-02-22,8444.29
2021-02-19,8595.45
2021-02-18,8682.5
2021-02-17,8702.03
2021-02-16,8732.16
2021-02-15,8721.97
2021-02-12,8636.98
2021-02-11,8640.35
2021-02-10,8595.17
2021-02-09,8582.15
2021-02-08,8586.66
2021-02-05,8475.1
2021-02-04,8478.93
2021-02-03,8400.65
2021-02-02,8316.64
2021-02-01,8122.42
2021-01-29,7802.29
2021-01-28,7897.64
2021-01-27,7967.13
2021-01-25,8101.49
2021-01-22,8178.42
2021-01-21,8289.69
2021-01-20,8332.98
2021-01-19,8266.17
2021-01-18,8124.65
2021-01-15,8232.72
2021-01-14,8327.25
2021-01-13,8307.4
2021-01-12,8320.12
2021-01-11,8284.0
2021-01-08,8229.58
2021-01-07,8120.64
2021-01-06,8100.19
2021-01-05,8119.75
2021-01-04,8067.89
2021-01-01,7986.61
2020-12-31,7947.1
2020-12-30,7940.8
2020-12-29,7911.55
2020-12-28,7888.25
2020-12-24,7811.32
2020-12-23,7743.09
2020-12-22,7636.72
2020-12-21,7560.1
2020-12-18,7832.41
2020-12-17,7827.49
2020-12-16,7809.13
2020-12-15,7743.22
2020-12-14,7737.2
2020-12-11,7706.19
2020-12-10,7684.76
2020-12-09,7711.93
2020-12-08,7647.87
2020-12-07,7635.61
2020-12-04,7570.32
2020-12-03,7511.78
2020-12-02,7485.53
2020-12-01,7468.91
2020-11-27,7387.89
2020-11-26,7356.54
2020-11-25,7287.7
2020-11-24,7395.87
2020-11-23,7328.93
2020-11-20,7276.24
2020-11-19,7219.12
2020-11-18,7294.25
2020-11-17,7249.09
2020-11-14,7191.09
2020-11-13,7153.5
2020-11-12,7121.89
2020-11-11,7129.73
2020-11-10,7069.63
2020-11-09,7007.53
2020-11-06,6910.05
2020-11-05,6842.95
2020-11-04,6725.25
2020-11-03,6676.72
2020-11-02,6608.17
2020-10-30,6599.23
2020-10-29,6606.89
2020-10-28,6632.06
2020-10-27,6710.23
2020-10-26,6642.08
2020-10-23,6733.05
2020-10-22,6703.88
2020-10-21,6710.56
2020-10-20,6694.46
2020-10-19,6677.87
2020-10-16,6620.55
2020-10-15,6568.58
2020-10-14,6714.85
2020-10-13,6695.33
2020-10-12,6701.11
2020-10-09,6705.71
2020-10-08,6679.74
2020-10-07,6641.15
2020-10-06,6620.41
2020-10-05,6547.54
2020-10-01,6509.64
2020-09-30,6427.65
2020-09-29,6412.76
2020-09-28,6419.49
2020-09-25,6299.57
2020-09-24,6153.73
2020-09-23,6325.41
2020-09-22,6338.32
2020-09-21,6407.36
2020-09-18,6578.17
2020-09-17,6583.08
2020-09-16,6627.7
2020-09-15,6587.02
2020-09-14,6531.75
