Date,NIFTY_MIDSMALLCAP400_MOMENTUM_QUALITY_100
2022-10-27,35759.23
2022-10-25,35697.75
2022-10-24,35626.53
2022-10-21,35384.96
2022-10-20,35664.64
2022-10-19,35728.31
2022-10-18,35670.9
2022-10-17,35325.86
2022-10-14,35384.68
2022-10-13,35364.09
2022-10-12,35580.69
2022-10-11,35524.83
2022-10-10,36061.94
2022-10-07,36429.18
2022-10-06,36438.87
2022-10-04,35989.81
2022-10-03,35176.18
2022-09-30,35532.8
2022-09-29,35076.03
2022-09-28,34931.15
2022-09-27,35101.32
2022-09-26,35160.53
2022-09-23,36367.43
2022-09-22,36955.38
2022-09-21,36537.5
2022-09-20,36711.97
2022-09-19,36150.52
2022-09-16,36350.56
2022-09-15,37303.0
2022-09-14,37206.97
2022-09-13,37403.07
2022-09-12,37350.02
2022-09-09,36872.78
2022-09-08,36759.12
2022-09-07,36629.77
2022-09-06,36445.49
2022-09-05,36366.77
2022-09-02,36118.88
2022-09-01,36179.14
2022-08-30,35940.97
2022-08-29,35453.18
2022-08-26,35754.15
2022-08-25,35618.47
2022-08-24,35712.15
2022-08-23,35440.18
2022-08-22,35125.55
2022-08-19,35668.17
2022-08-18,36148.02
2022-08-17,36116.09
2022-08-16,36050.35
2022-08-12,35664.91
2022-08-11,35438.49
2022-08-10,35110.52
2022-08-08,35042.81
2022-08-05,34802.14
2022-08-04,34749.89
2022-08-03,34400.01
2022-08-02,34496.94
2022-08-01,34459.2
2022-07-29,33904.93
2022-07-28,33534.46
2022-07-27,33190.59
2022-07-26,32850.46
2022-07-25,33286.9
2022-07-22,33119.94
2022-07-21,33103.02
2022-07-20,32718.22
2022-07-19,32492.31
2022-07-18,32190.52
2022-07-15,31868.01
2022-07-14,31558.05
2022-07-13,31716.18
2022-07-12,31663.44
2022-07-11,31908.9
2022-07-08,31760.56
2022-07-07,31694.19
2022-07-06,31328.93
2022-07-05,30903.02
2022-07-04,30896.44
2022-07-01,30748.77
2022-06-30,30865.82
2022-06-29,31093.47
2022-06-28,31182.45
2022-06-27,31221.56
2022-06-24,30690.94
2022-06-23,30446.86
2022-06-22,29942.61
2022-06-21,30391.32
2022-06-20,29614.99
2022-06-17,30317.84
2022-06-16,30531.03
2022-06-15,31325.8
2022-06-14,31160.88
2022-06-13,31230.35
2022-06-10,32199.69
2022-06-09,32468.47
2022-06-08,32226.99
2022-06-07,32438.11
2022-06-06,32669.66
2022-06-03,32769.27
2022-06-02,33210.99
2022-06-01,33070.52
2022-05-31,32983.3
2022-05-30,32821.39
2022-05-27,32037.3
2022-05-26,31438.23
2022-05-25,31164.0
2022-05-24,32219.17
2022-05-23,32488.49
2022-05-20,32519.34
2022-05-19,31971.81
2022-05-18,32795.27
2022-05-17,32587.01
2022-05-16,31749.41
2022-05-13,31398.49
2022-05-12,31133.32
2022-05-11,31661.2
2022-05-10,31924.92
2022-05-09,32658.29
2022-05-06,33258.27
2022-05-05,34086.12
2022-05-04,34037.06
2022-05-02,34697.23
2022-04-29,35134.67
2022-04-28,35376.89
2022-04-27,35132.29
2022-04-26,35375.34
2022-04-25,35010.66
2022-04-22,35791.02
2022-04-21,35841.65
2022-04-20,35456.32
2022-04-19,35374.95
2022-04-18,35964.37
2022-04-13,36489.72
2022-04-12,36407.0
2022-04-11,37056.74
2022-04-08,37169.34
2022-04-07,36880.88
2022-04-06,37122.71
2022-04-05,37236.03
2022-04-04,36760.02
2022-04-01,36276.94
2022-03-31,36041.35
2022-03-30,35966.29
2022-03-29,35515.4
2022-03-28,35339.34
2022-03-25,35314.83
2022-03-24,35494.69
2022-03-23,35298.13
2022-03-22,35196.25
2022-03-21,35054.92
2022-03-17,35005.81
2022-03-16,34522.62
2022-03-15,33930.42
2022-03-14,34318.95
2022-03-11,34196.47
2022-03-10,33920.07
2022-03-09,33641.06
2022-03-08,32957.43
2022-03-07,32462.94
2022-03-04,32986.88
2022-03-03,33455.79
2022-03-02,33412.79
2022-02-28,33417.16
2022-02-25,33139.3
2022-02-24,31697.29
2022-02-23,33478.08
2022-02-22,33222.89
2022-02-21,33486.77
2022-02-18,33942.24
2022-02-17,34183.27
2022-02-16,34370.53
2022-02-15,34545.12
2022-02-14,33646.7
2022-02-11,34910.27
2022-02-10,35815.09
2022-02-09,35704.66
2022-02-08,35234.65
2022-02-07,35525.35
2022-02-04,35862.39
2022-02-03,36083.76
2022-02-02,36583.99
2022-02-01,36119.02
2022-01-31,35891.6
2022-01-28,35229.95
2022-01-27,34638.67
2022-01-25,35391.26
2022-01-24,35034.03
2022-01-21,36555.28
2022-01-20,37357.91
2022-01-19,37314.21
2022-01-18,37357.03
2022-01-17,38127.4
2022-01-14,38123.24
2022-01-13,38202.87
2022-01-12,37986.23
2022-01-11,37655.49
2022-01-10,37633.97
2022-01-07,37514.46
2022-01-06,37377.77
2022-01-05,37528.44
2022-01-04,37667.72
2022-01-03,37506.07
2021-12-31,37183.72
2021-12-30,36820.72
2021-12-29,36567.84
2021-12-28,36451.25
2021-12-27,36005.29
2021-12-24,35932.29
2021-12-23,36130.29
2021-12-22,35706.18
2021-12-21,35063.1
2021-12-20,34559.08
2021-12-17,35928.21
2021-12-16,36550.3
2021-12-15,36540.11
2021-12-14,36677.07
2021-12-13,36632.5
2021-12-10,36580.76
2021-12-09,36520.86
2021-12-08,36242.61
2021-12-07,35660.41
2021-12-06,35266.84
2021-12-03,35745.45
2021-12-02,35767.84
2021-12-01,35261.68
2021-11-30,35083.56
2021-11-29,34662.51
2021-11-26,35042.93
2021-11-25,36133.72
2021-11-24,35906.46
2021-11-23,36103.97
2021-11-22,35517.81
2021-11-18,36499.32
2021-11-17,37079.94
2021-11-16,37132.37
2021-11-15,37075.96
2021-11-12,36938.43
2021-11-11,36716.42
2021-11-10,36850.22
2021-11-09,36891.5
2021-11-08,36678.8
2021-11-04,36382.02
2021-11-03,35994.83
2021-11-02,36096.72
2021-11-01,36001.29
2021-10-29,35474.6
2021-10-28,35485.35
2021-10-27,36009.83
2021-10-26,35735.73
2021-10-25,35085.28
2021-10-22,35585.17
2021-10-21,35991.63
2021-10-20,36511.0
2021-10-19,37380.28
2021-10-18,37655.49
2021-10-14,37516.63
2021-10-13,37068.58
2021-10-12,36889.6
2021-10-11,36871.71
2021-10-08,36874.7
2021-10-07,36638.91
2021-10-06,35960.73
2021-10-05,36014.42
2021-10-04,35804.65
2021-10-01,35301.19
2021-09-30,35324.99
2021-09-29,35188.33
2021-09-28,35033.17
2021-09-27,35423.13
2021-09-24,35740.57
2021-09-23,35855.02
2021-09-22,35445.13
2021-09-21,35063.06
2021-09-20,34934.32
2021-09-17,35504.47
2021-09-16,35789.72
2021-09-15,35720.79
2021-09-14,35350.08
2021-09-13,35194.82
2021-09-09,34801.45
2021-09-08,34632.93
2021-09-07,34611.76
2021-09-06,34650.52
2021-09-03,34465.99
2021-09-02,34346.44
2021-09-01,33943.96
2021-08-31,33743.96
2021-08-30,33626.08
2021-08-27,33220.86
2021-08-26,32911.48
2021-08-25,32839.17
2021-08-24,32775.44
2021-08-23,32257.09
2021-08-20,32580.39
2021-08-18,33099.36
2021-08-17,33064.33
2021-08-16,32693.35
2021-08-13,32884.07
2021-08-12,32941.75
2021-08-11,32432.04
2021-08-10,32668.99
2021-08-09,32969.33
2021-08-06,33108.95
2021-08-05,33169.19
2021-08-04,33028.04
2021-08-03,33332.09
2021-08-02,33361.46
2021-07-30,32809.88
2021-07-29,32425.47
2021-07-28,32212.44
2021-07-27,32448.76
2021-07-26,32720.74
2021-07-23,32559.56
2021-07-22,32473.26
2021-07-20,32166.34
2021-07-19,32534.58
2021-07-16,32555.46
2021-07-15,32441.6
2021-07-14,32043.71
2021-07-13,31782.56
2021-07-12,31690.42
2021-07-09,31489.22
2021-07-08,31304.21
2021-07-07,31370.0
2021-07-06,31352.38
2021-07-05,31409.61
2021-07-02,31314.7
2021-07-01,30972.76
2021-06-30,30924.37
2021-06-29,30542.03
2021-06-28,30504.03
2021-06-25,30336.8
2021-06-24,30134.79
2021-06-23,30070.9
2021-06-22,30072.25
2021-06-21,30040.52
2021-06-18,30016.26
2021-06-17,30169.02
2021-06-16,30292.57
2021-06-15,30393.85
2021-06-14,30148.18
2021-06-11,30202.97
2021-06-10,30125.34
2021-06-09,29705.39
2021-06-08,29955.43
2021-06-07,29647.44
2021-06-04,29402.32
2021-06-03,29273.46
2021-06-02,28980.84
2021-06-01,28764.34
2021-05-31,28876.77
2021-05-28,28731.23
2021-05-27,28749.82
2021-05-26,28632.33
2021-05-25,28464.64
2021-05-24,28504.55
2021-05-21,28360.33
2021-05-20,28238.36
2021-05-19,28117.19
2021-05-18,28005.05
2021-05-17,27579.53
2021-05-14,27274.14
2021-05-12,27454.16
2021-05-11,27718.63
2021-05-10,27615.02
2021-05-07,27529.35
2021-05-06,27806.63
2021-05-05,27557.7
2021-05-04,27252.69
2021-05-03,27350.79
2021-04-30,27173.95
2021-04-29,27208.47
