Date,NIFTY_SMALLCAP250_MOMENTUM_QUALITY_100
2023-01-11,36391.02
2023-01-10,36344.21
2023-01-09,36497.66
2023-01-06,36347.11
2023-01-05,36499.56
2023-01-04,36522.37
2023-01-03,36817.52
2023-01-02,36796.27
2022-12-30,36406.21
2022-12-29,36125.97
2022-12-28,36133.08
2022-12-27,36017.79
2022-12-26,35609.34
2022-12-23,34492.84
2022-12-22,36080.96
2022-12-21,36704.22
2022-12-20,37415.83
2022-12-19,37427.2
2022-12-16,37419.06
2022-12-15,37691.57
2022-12-14,37891.96
2022-12-13,37723.35
2022-12-12,37742.85
2022-12-09,37607.68
2022-12-08,38031.79
2022-12-07,37839.53
2022-12-06,37941.94
2022-12-05,38041.44
2022-12-02,38004.96
2022-12-01,37808.1
2022-11-30,37533.14
2022-11-29,37498.34
2022-11-28,37746.36
2022-11-25,37384.96
2022-11-24,37264.3
2022-11-23,37073.77
2022-11-22,36708.52
2022-11-21,36805.52
2022-11-18,36645.93
2022-11-17,36697.75
2022-11-16,36531.01
2022-11-15,36652.95
2022-11-14,36673.35
2022-11-11,36534.92
2022-11-10,36436.94
2022-11-09,36803.19
2022-11-07,36844.45
2022-11-04,36789.35
2022-11-03,36724.84
2022-11-02,36655.12
2022-11-01,36684.42
2022-10-31,36655.17
2022-10-28,36510.28
2022-10-27,36962.6
2022-10-25,36864.03
2022-10-24,36884.85
2022-10-21,36550.84
2022-10-20,36458.54
2022-10-19,36405.73
2022-10-18,36337.13
2022-10-17,36067.13
2022-10-14,36054.36
2022-10-13,36038.95
2022-10-12,36201.13
2022-10-11,36068.61
2022-10-10,36638.66
2022-10-07,36901.75
2022-10-06,36820.02
2022-10-04,36352.84
2022-10-03,35961.86
2022-09-30,36107.91
2022-09-29,35617.87
2022-09-28,35415.62
2022-09-27,35658.16
2022-09-26,35515.45
2022-09-23,36670.15
2022-09-22,37357.21
2022-09-21,37100.75
2022-09-20,37333.54
2022-09-19,36932.46
2022-09-16,37208.36
2022-09-15,38241.77
2022-09-14,38327.88
2022-09-13,38357.52
2022-09-12,38395.34
2022-09-09,37829.33
2022-09-08,37968.72
2022-09-07,37737.51
2022-09-06,37446.07
2022-09-05,37225.28
2022-09-02,36853.06
2022-09-01,36724.86
2022-08-30,36642.04
2022-08-29,36190.18
2022-08-26,36440.29
2022-08-25,36157.08
2022-08-24,36168.03
2022-08-23,35823.59
2022-08-22,35449.62
2022-08-19,35859.22
2022-08-18,36349.47
2022-08-17,36246.93
2022-08-16,36170.37
2022-08-12,35897.01
2022-08-11,35926.32
2022-08-10,35770.15
2022-08-08,35661.24
2022-08-05,35407.27
2022-08-04,35477.74
